iter	Passed	Remaining
0	8	3216
1	14	2820
2	20	2754
3	26	2650
4	32	2572
5	38	2508
6	44	2495
7	50	2461
8	56	2439
9	61	2416
10	67	2388
11	73	2384
12	79	2379
13	86	2374
14	92	2364
15	98	2358
16	103	2334
17	109	2317
18	114	2301
19	120	2284
20	125	2269
21	131	2267
22	138	2265
23	143	2254
24	148	2233
25	154	2226
26	160	2213
27	165	2200
28	171	2191
29	177	2184
30	182	2174
31	187	2156
32	191	2134
33	196	2114
34	201	2099
35	206	2091
36	211	2076
37	216	2062
38	221	2047
39	225	2031
40	230	2015
41	234	2000
42	239	1990
43	244	1977
44	248	1962
45	253	1951
46	257	1937
47	262	1926
48	267	1919
49	272	1908
50	276	1893
51	281	1883
52	285	1872
53	290	1861
54	295	1850
55	299	1841
56	304	1831
57	309	1822
58	313	1811
59	317	1801
60	322	1791
61	326	1780
62	331	1773
63	335	1762
64	340	1756
65	345	1749
66	350	1742
67	354	1732
68	360	1727
69	365	1721
70	369	1714
71	375	1711
72	380	1704
73	385	1696
74	390	1692
75	395	1685
76	400	1679
77	405	1675
78	410	1667
79	414	1658
80	419	1651
81	423	1642
82	427	1633
83	432	1628
84	438	1626
85	444	1624
86	449	1617
87	455	1614
88	461	1612
89	466	1607
90	473	1608
91	480	1609
92	486	1605
93	494	1608
94	501	1608
95	507	1606
96	513	1604
97	519	1601
98	526	1601
99	533	1599
100	538	1593
101	544	1592
102	550	1587
103	556	1583
104	562	1580
105	568	1575
106	573	1570
107	579	1565
108	584	1561
109	590	1556
110	596	1552
111	602	1548
112	607	1543
113	613	1538
114	619	1535
115	625	1531
116	630	1525
117	636	1521
118	643	1519
119	649	1516
120	655	1512
121	662	1508
122	667	1503
123	673	1499
124	679	1495
125	685	1491
126	692	1488
127	697	1482
128	703	1477
129	708	1472
130	714	1466
131	720	1462
132	726	1458
133	731	1453
134	738	1449
135	743	1443
136	749	1439
137	755	1434
138	761	1429
139	766	1422
140	770	1416
141	775	1409
142	780	1402
143	784	1394
144	789	1388
145	794	1382
146	798	1374
147	803	1367
148	807	1359
149	811	1352
150	815	1345
151	820	1338
152	824	1331
153	829	1325
